episode,total_reward,steps,laps
290,107.7621,127,0
291,47.0899,57,0
292,97.9608,127,0
293,106.4977,124,0
294,50.7559,63,0
295,102.5124,125,0
296,32.6740,40,0
297,115.3129,127,0
298,69.6451,87,0
299,115.2020,124,0
300,78.9277,88,0
301,113.1808,134,0
302,22.4845,26,0
303,36.3522,46,0
304,79.5686,103,0
305,109.0071,127,0
306,32.8499,40,0
307,101.0837,125,0
308,32.0555,39,0
309,44.0736,51,0
310,69.9348,80,0
311,70.0787,78,0
312,22.5227,26,0
313,111.0817,132,0
314,113.8088,130,0
315,22.3776,26,0
316,89.7780,118,0
317,106.7289,127,0
318,112.9219,128,0
319,104.6385,124,0
320,88.0776,120,0
321,68.1691,72,0
322,129.9629,140,0
323,112.9986,131,0
324,38.4168,50,0
325,103.7137,130,0
326,38.0397,50,0
327,111.9799,125,0
328,64.4810,70,0
329,119.2776,132,0
330,123.6211,133,0
331,84.8516,97,0
332,79.3937,88,0
333,82.4442,91,0
334,74.1515,81,0
335,125.2632,132,0
336,78.9311,90,0
337,122.5670,135,0
338,105.3117,128,0
339,81.0345,88,0
340,107.6544,124,0
341,80.9189,90,0
342,114.2588,128,0
343,87.8563,99,0
344,110.5929,130,0
345,107.2350,124,0
346,120.4127,132,0
347,75.1382,80,0
348,124.2412,135,0
349,110.5423,125,0
350,120.3385,133,0
351,70.7923,78,0
352,27.9974,31,0
353,119.0210,137,0
354,115.7496,131,0
355,79.4434,88,0
356,106.6574,127,0
357,126.7570,137,0
358,121.3657,142,0
359,122.2755,137,0
360,90.0450,123,0
361,114.9503,129,0
362,80.6660,88,0
363,108.7947,128,0
364,102.7860,129,0
365,90.8931,123,0
366,120.3544,136,0
367,29.0925,32,0
368,118.9148,137,0
369,85.9666,91,0
370,108.5420,130,0
371,117.2074,135,0
372,113.4958,135,0
373,121.1616,132,0
374,112.0682,139,0
375,125.7370,135,0
376,113.5472,133,0
377,120.1357,132,0
378,134.0756,146,0
379,120.2192,134,0
380,118.5730,136,0
381,101.3417,126,0
382,112.4722,131,0
383,70.6766,78,0
384,37.7453,47,0
385,22.5377,26,0
386,105.0716,134,0
387,104.8250,127,0
388,97.6214,120,0
389,110.2866,137,0
390,106.5753,133,0
391,121.2039,139,0
392,109.6643,131,0
393,92.2515,119,0
394,112.7651,134,0
395,121.7563,141,0
396,94.0894,124,0
397,102.4316,133,0
398,16.7445,20,0
399,57.7192,75,0
400,8.9599,13,0
401,131.5381,142,0
402,37.6289,49,0
403,110.1625,141,0
404,130.3971,146,0
405,87.2045,97,0
406,116.1407,136,0
407,122.6315,142,0
408,88.8728,101,0
409,111.2201,135,0
410,16.7393,20,0
411,125.4026,142,0
412,118.0210,143,0
413,116.4512,138,0
414,118.6085,142,0
415,51.7663,66,0
416,131.6908,145,0
417,119.4126,136,0
418,22.5006,26,0
419,108.7942,138,0
420,53.3695,64,0
421,105.6058,129,0
422,110.6386,134,0
423,122.5379,145,0
424,119.5310,145,0
425,123.1487,142,0
426,126.4502,146,0
427,113.5992,138,0
428,129.9257,145,0
429,123.4764,148,0
430,92.0507,108,0
431,110.6532,136,0
432,119.2988,143,0
433,114.6176,144,0
434,120.5734,144,0
435,118.8659,145,0
436,88.2984,98,0
437,347.4949,437,0
438,123.1403,145,0
439,121.6330,147,0
440,616.1648,818,1
441,138.1346,147,0
442,114.8537,143,0
443,128.7462,147,0
444,672.0389,805,1
445,608.8800,758,1
446,721.4029,881,1
447,80.9356,91,0
448,108.6861,113,0
449,105.3298,111,0
450,88.3317,99,0
451,124.9341,126,0
452,102.0685,109,0
453,92.3786,108,0
454,85.8654,92,0
455,16.7323,20,0
456,86.5752,99,0
457,196.2606,215,0
458,1315.0177,1582,2
459,315.3609,342,0
460,16.7223,20,0
461,88.0721,93,0
462,96.4675,109,0
463,16.7350,20,0
464,16.7307,20,0
465,135.5677,147,0
466,16.7427,20,0
467,91.4262,98,0
468,119.8777,118,0
469,123.0582,144,0
470,91.1755,98,0
471,1320.3574,1688,2
472,180.4300,201,0
473,93.0545,106,0
474,88.9887,99,0
475,98.7588,107,0
476,88.4038,100,0
477,120.1112,124,0
478,133.7129,147,0
479,623.7203,724,1
480,134.9659,150,0
481,98.0058,107,0
482,1370.6635,1648,2
483,90.6524,98,0
484,97.1033,107,0
485,94.5383,108,0
486,110.2294,111,0
487,92.7786,102,0
488,96.7638,107,0
489,140.4010,160,0
490,96.7067,107,0
491,99.5059,108,0
492,99.7346,108,0
493,88.8836,94,0
494,95.2310,100,0
495,130.3329,147,0
496,128.6289,148,0
497,1344.3101,1679,2
498,1602.0302,2000,2
499,95.1055,102,0
500,99.7475,109,0
501,93.2932,99,0
502,29.0668,32,0
503,1688.8568,2000,2
504,16.7268,20,0
505,1608.6183,2000,2
506,8.9589,13,0
507,1630.7863,2000,2
508,1736.7403,2000,2
509,95.2590,99,0
510,18.9948,22,0
511,773.7040,895,1
512,29.1882,32,0
513,16.7406,20,0
514,29.2185,32,0
515,102.0782,108,0
516,1739.5745,2000,2
517,1457.2535,1655,2
518,1738.8265,2000,2
519,1719.2310,2000,2
520,1697.9439,2000,2
521,785.3702,889,1
522,1515.7864,1655,2
523,16.7469,20,0
524,8.9557,13,0
525,93.5955,99,0
526,1787.4535,2000,2
527,1787.8422,2000,2
528,102.9840,110,0
529,16.7362,20,0
530,1769.8140,2000,2
531,29.1454,32,0
532,1752.0878,2000,2
533,1774.5350,2000,2
534,1752.2664,2000,2
535,793.3568,884,1
536,29.0963,32,0
537,97.9812,102,0
538,797.8906,874,1
539,102.7005,109,0
540,131.0830,132,0
541,756.4815,897,1
542,1762.2289,2000,2
543,1764.9429,2000,2
544,1756.8578,1902,2
545,104.8378,110,0
546,105.6605,110,0
547,29.0865,32,0
548,104.8651,109,0
549,106.3454,110,0
550,112.5580,112,0
551,818.1407,881,1
552,95.8236,99,0
553,106.2192,109,0
554,1810.4054,2000,2
555,16.7455,20,0
556,1828.7068,2000,2
557,814.1229,886,1
558,1876.0920,2000,2
559,8.9442,13,0
560,1850.0276,2000,2
561,1857.9859,2000,2
562,16.7526,20,0
563,16.7500,20,0
564,30.1843,33,0
565,16.7474,20,0
566,1893.8077,2000,2
567,810.7644,874,1
568,104.7865,110,0
569,97.2951,100,0
570,1828.2561,2000,2
571,28.9603,32,0
572,112.0829,112,0
573,1729.8655,2000,2
574,1738.4401,2000,2
575,1735.8430,2000,2
576,1789.1564,2000,2
577,1885.2884,2000,2
578,16.7431,20,0
579,30.1564,33,0
580,30.2070,33,0
581,1879.9905,2000,2
582,106.8762,110,0
583,1557.8307,1661,2
584,16.7431,20,0
585,30.1217,33,0
586,107.7064,110,0
587,92.7229,93,0
588,1796.0434,2000,2
589,29.0512,32,0
590,1781.3569,2000,2
591,1804.8541,2000,2
592,114.6711,113,0
593,1831.6721,2000,2
594,97.0645,100,0
595,90.0172,93,0
596,126.1154,124,0
597,1793.3044,2000,2
598,1760.3099,2000,2
599,29.1411,32,0
600,30.0822,33,0
601,8.9524,13,0
602,1702.0992,2000,2
603,1766.5702,2000,2
604,1834.1553,2000,2
605,818.7753,874,1
606,830.4882,888,1
607,30.1925,33,0
608,30.1370,33,0
609,29.0908,32,0
610,87.9638,90,0
611,29.0760,32,0
612,95.3393,99,0
613,29.0882,32,0
614,1850.4120,2000,2
615,8.9527,13,0
616,29.1422,32,0
617,1545.6957,1659,2
618,1838.2349,2000,2
619,99.7662,103,0
620,1822.8081,2000,2
621,831.3336,887,1
622,30.2416,33,0
623,96.9162,101,0
624,94.7984,100,0
625,95.6145,99,0
626,95.2359,99,0
627,99.1014,103,0
628,1883.8199,2000,2
629,1831.2301,2000,2
630,1898.7862,2000,2
631,98.8890,101,0
632,29.1327,32,0
633,1660.7542,1718,2
634,19.9948,23,0
635,30.0622,33,0
636,16.7446,20,0
637,32.3187,35,0
638,16.7483,20,0
639,30.1950,33,0
640,88.6653,90,0
641,17.8722,21,0
642,19.9788,23,0
643,16.7507,20,0
644,30.1709,33,0
645,29.2018,32,0
646,16.7465,20,0
647,29.1583,32,0
648,16.7419,20,0
649,875.8701,878,1
650,17.8578,21,0
651,30.1972,33,0
652,30.1650,33,0
653,1595.2886,1644,2
654,20.0017,23,0
655,97.8701,101,0
656,95.5639,100,0
657,30.2307,33,0
658,113.3346,112,0
659,16.7515,20,0
660,29.2081,32,0
661,95.7402,99,0
662,1867.6689,2000,2
663,8.9514,13,0
664,1841.7899,2000,2
665,16.7499,20,0
666,30.1839,33,0
667,16.7392,20,0
668,16.7498,20,0
669,29.1534,32,0
670,1897.9388,2000,2
671,95.5835,99,0
672,96.6609,100,0
673,1869.9432,2000,2
674,1888.4253,2000,2
675,1909.9703,2000,2
676,16.7401,20,0
677,1971.8039,2000,2
678,90.7506,93,0
679,16.7472,20,0
680,29.1199,32,0
681,29.1360,32,0
682,90.1797,93,0
683,98.9614,100,0
684,17.8727,21,0
685,30.2325,33,0
686,91.2314,93,0
687,100.0824,102,0
688,30.3002,33,0
689,29.0320,32,0
690,31.3027,34,0
691,96.8410,100,0
692,32.1789,35,0
693,88.0840,90,0
694,16.7495,20,0
695,90.8696,93,0
696,91.5192,93,0
697,100.2156,101,0
698,80.6879,82,0
699,16.7406,20,0
700,91.5625,93,0
701,30.1222,33,0
702,30.2054,33,0
703,29.1269,32,0
704,20.0100,23,0
705,100.7649,103,0
706,88.4197,91,0
707,98.4979,101,0
708,91.1556,93,0
709,19.9849,23,0
710,29.1632,32,0
711,16.7363,20,0
712,96.5716,99,0
713,30.1470,33,0
714,17.8747,21,0
715,16.7424,20,0
716,30.2717,33,0
717,95.8670,99,0
718,16.7497,20,0
719,16.7471,20,0
720,125.9956,124,0
721,92.1052,94,0
722,1582.7586,1641,2
723,107.2536,110,0
724,95.9097,100,0
725,122.3014,121,0
726,94.2439,99,0
727,29.0505,32,0
728,96.0240,99,0
729,114.4606,112,0
730,96.6536,99,0
731,96.1294,99,0
732,29.1479,32,0
733,1887.4666,2000,2
734,1837.6621,2000,2
735,16.7502,20,0
736,1895.0355,2000,2
737,30.2073,33,0
738,88.0354,90,0
739,99.3050,102,0
740,1851.1254,2000,2
741,30.2578,33,0
742,97.1196,100,0
743,96.3995,100,0
744,1761.9317,2000,2
745,1733.9810,2000,2
746,1760.6382,2000,2
747,70.2918,71,0
748,89.6816,91,0
749,1826.8852,2000,2
750,30.2891,33,0
751,30.1990,33,0
752,90.1113,93,0
753,1820.4709,2000,2
754,1788.9657,2000,2
755,1840.6878,2000,2
756,113.5986,112,0
757,868.2197,898,1
758,30.2682,33,0
759,846.6546,872,1
760,931.3052,954,1
761,85.8543,89,0
762,8.9438,13,0
763,30.1684,33,0
764,8.9455,13,0
765,31.1499,34,0
766,23.7121,27,0
767,16.7527,20,0
768,73.9513,75,0
769,842.2874,883,1
770,1897.0919,2000,2
771,91.1593,93,0
772,16.7439,20,0
773,1904.1559,2000,2
774,1899.8803,2000,2
775,1913.6734,2000,2
776,8.9433,13,0
777,97.0922,99,0
778,99.2088,100,0
779,86.9694,90,0
780,1923.1162,2000,2
781,1915.3688,2000,2
782,90.9291,93,0
