episode,total_reward,steps,laps
290,374.7215,341,0
291,148.0165,142,0
292,2334.4428,2000,1
293,83.2632,87,0
294,98.3503,100,0
295,601.0679,551,0
296,299.7155,276,0
297,340.5625,311,0
298,167.7831,159,0
299,347.9909,317,0
300,169.3673,161,0
301,558.8997,512,0
302,81.1531,85,0
303,288.1479,266,0
304,273.6972,254,0
305,322.0653,296,0
306,1432.6600,1257,0
307,694.5493,628,0
308,455.9025,414,0
309,754.4485,687,0
310,86.7594,91,0
311,790.0488,718,0
312,753.7221,683,0
313,1063.8848,949,0
314,1472.7812,1298,0
315,2068.0662,1802,1
316,2091.4541,1806,1
317,2324.4681,2000,1
318,2359.0756,2000,1
319,2179.6264,1876,1
320,463.2530,422,0
321,583.4935,528,0
322,1582.5101,1374,0
323,798.7762,720,0
324,2338.0461,2000,1
325,2345.8657,2000,1
326,2101.6492,1821,1
327,79.1415,84,0
328,2346.6151,2000,1
329,2356.0760,2000,1
330,1082.3962,955,0
331,810.6859,723,0
332,2349.9810,2000,1
333,2355.9685,2000,1
334,2350.1170,2000,1
335,2356.2762,2000,1
336,2346.5842,2000,1
337,2334.7415,2000,1
338,2348.3881,2000,1
339,2346.0016,2000,1
340,2357.3081,2000,1
341,2346.0695,2000,1
342,2360.4693,2000,1
343,2348.8500,2000,1
344,2358.1239,2000,1
345,2355.5109,2000,1
346,2352.0444,2000,1
347,2358.9608,2000,1
348,2358.9772,2000,1
349,2351.0152,2000,1
350,2358.1262,2000,1
351,2350.3555,2000,1
352,2349.6735,2000,1
353,1069.9230,956,0
354,2337.6501,2000,1
355,2350.6565,2000,1
356,594.1273,541,0
357,2354.7513,2000,1
358,2351.2535,2000,1
359,2348.7186,2000,1
360,2346.0010,2000,1
361,2345.0451,2000,1
362,1359.3957,1183,0
363,380.3861,346,0
364,148.9753,144,0
365,344.6342,312,0
366,2342.7814,2000,1
367,2347.3005,2000,1
368,2348.6847,2000,1
369,522.9928,476,0
370,2355.1182,2000,1
371,2355.0380,2000,1
372,840.3644,752,0
373,2359.2954,2000,1
374,2361.7270,2000,1
375,1070.0446,949,0
376,2351.7812,2000,1
377,2354.9188,2000,1
378,1603.1088,1391,0
379,343.2499,314,0
380,2361.9220,2000,1
381,2337.3936,2000,1
382,2357.1760,2000,1
383,1047.0862,939,0
384,2345.8035,2000,1
385,2352.0659,2000,1
386,316.7515,292,0
387,2348.7295,2000,1
388,1562.0397,1373,0
389,2339.0563,2000,1
390,2359.3740,2000,1
391,2341.5123,2000,1
392,840.9007,751,0
393,1113.6821,988,0
394,1359.7635,1187,0
395,2196.4169,1888,1
396,2350.1258,2000,1
397,2107.8812,1814,1
398,2340.4000,2000,1
399,2345.8723,2000,1
400,2335.9756,2000,1
401,790.6378,717,0
402,2352.6153,2000,1
403,345.7465,313,0
404,2349.8457,2000,1
405,2344.7975,2000,1
406,1600.2538,1407,0
407,96.0357,98,0
408,805.4376,736,0
409,2343.0689,2000,1
410,2353.7553,2000,1
411,2358.5582,2000,1
412,1349.5953,1168,0
413,2334.6926,2000,1
